iter	Passed	Remaining
0	184	184541
1	186	93268
2	188	62680
3	194	48525
4	197	39222
5	198	32949
6	200	28481
7	202	25119
8	208	22941
9	217	21501
10	218	19673
11	226	18626
12	230	17478
13	232	16372
14	239	15729
15	242	14939
16	244	14143
17	250	13667
18	253	13112
19	255	12535
20	258	12042
21	259	11555
22	265	11266
23	272	11082
24	274	10689
25	276	10348
26	283	10217
27	286	9935
28	291	9747
29	304	9860
30	306	9585
31	311	9428
32	314	9228
33	316	9004
34	319	8804
35	321	8599
36	326	8505
37	331	8387
38	332	8204
39	334	8028
40	335	7858
41	342	7812
42	344	7664
43	345	7515
44	347	7384
45	349	7244
46	350	7111
47	424	8425
48	440	8545
49	725	13781
50	729	13571
51	731	13334
52	739	13207
53	742	13013
54	747	12836
55	753	12698
56	754	12488
57	771	12523
58	776	12380
59	778	12200
60	785	12088
61	793	11999
62	801	11923
63	869	12720
64	875	12595
65	877	12420
66	905	12612
67	908	12456
68	914	12339
69	920	12234
70	922	12074
71	924	11918
72	926	11766
73	935	11706
74	938	11579
75	941	11449
76	951	11406
77	954	11278
78	956	11151
79	963	11084
80	966	10964
81	969	10855
82	970	10723
83	972	10604
84	981	10564
85	983	10447
86	984	10335
87	986	10226
88	988	10119
89	995	10062
90	997	9966
91	999	9869
92	1002	9774
93	1008	9717
94	1011	9631
95	1012	9535
96	1014	9441
97	1015	9349
98	1017	9259
99	1023	9214
100	1025	9130
101	1027	9044
102	1030	8970
103	1032	8894
104	1040	8872
105	1042	8793
106	1044	8715
107	1046	8646
108	1048	8573
109	1050	8501
110	1052	8432
111	1054	8363
112	1057	8301
113	1065	8277
114	1066	8209
115	1068	8141
116	1069	8073
117	1072	8017
118	1079	7990
119	1081	7929
120	1083	7869
121	1084	7808
122	1087	7753
123	1095	7735
124	1096	7677
125	1099	7623
126	1100	7564
127	1102	7507
128	1103	7452
129	1110	7432
130	1113	7384
131	1116	7343
132	1144	7463
133	1148	7424
134	1153	7388
135	1161	7376
136	1163	7328
137	1165	7282
138	1168	7238
139	1178	7236
140	1181	7194
141	1182	7145
142	1192	7146
143	1195	7107
144	1197	7060
145	1199	7016
146	1207	7004
147	1212	6980
148	1215	6941
149	1222	6929
150	1224	6884
151	1226	6843
152	1228	6800
153	1231	6763
154	1238	6752
155	1242	6722
156	1244	6683
157	1255	6690
158	1257	6651
159	1269	6666
160	1272	6630
161	1278	6611
162	1285	6598
163	1287	6561
164	1288	6522
165	1290	6484
166	1292	6449
167	1301	6443
168	1303	6409
169	1305	6373
170	1308	6344
171	1317	6341
172	1319	6306
173	1321	6275
174	1324	6243
175	1335	6251
176	1337	6219
177	1340	6190
178	1348	6187
179	1352	6160
180	1354	6128
181	1364	6132
182	1366	6099
183	1369	6075
184	1372	6044
185	1380	6040
186	1384	6018
187	1396	6031
188	1402	6017
189	1413	6024
190	1416	6000
191	1444	6080
192	1450	6064
193	1464	6082
194	1476	6096
195	1479	6069
196	1482	6041
197	1489	6033
198	1492	6008
199	1495	5982
200	1497	5954
201	1506	5952
202	1508	5922
203	1510	5892
204	1512	5867
205	1521	5864
206	1524	5841
207	1527	5817
208	1540	5830
209	1550	5834
210	1557	5824
211	1568	5829
212	1572	5811
213	1575	5785
214	1583	5780
215	1585	5753
216	1586	5725
217	1588	5698
218	1590	5671
219	1591	5644
220	1597	5632
221	1599	5605
222	1601	5578
223	1602	5552
224	1604	5526
225	1606	5500
226	1613	5494
227	1615	5468
228	1617	5444
229	1619	5420
230	1620	5395
231	1622	5371
232	1629	5365
233	1631	5341
234	1634	5319
235	1637	5300
236	1639	5276
237	1640	5253
238	1642	5229
239	1644	5206
240	1645	5182
241	1646	5158
242	1648	5134
243	1649	5111
244	1656	5103
245	1657	5080
246	1659	5059
247	1661	5037
248	1663	5015
249	1664	4993
250	1670	4985
251	1672	4964
252	1675	4946
253	1676	4924
254	1678	4902
255	1680	4883
256	1686	4877
257	1689	4858
258	1691	4840
259	1693	4820
260	1695	4799
261	1702	4794
262	1704	4777
263	1706	4757
264	1708	4740
265	1710	4720
266	1714	4705
267	1715	4686
268	1717	4667
269	1719	4648
270	1729	4652
271	1731	4633
272	1732	4614
273	1734	4595
274	1735	4576
275	1737	4557
276	1743	4551
277	1745	4533
278	1747	4516
279	1750	4501
280	1752	4483
281	1758	4478
282	1761	4461
283	1762	4443
284	1763	4425
285	1765	4407
286	1766	4389
287	1768	4372
288	1774	4366
289	1776	4349
290	1778	4332
291	1779	4315
292	1781	4299
293	1783	4282
294	1790	4278
295	1792	4263
296	1794	4246
297	1796	4230
298	1797	4214
299	1803	4209
300	1805	4193
301	1807	4177
